2011-09-24 22:16:10 [INFO] Preparing spawn area: 56%
2011-09-24 22:16:13 [INFO] Preparing spawn area: 56%
2011-09-24 22:16:14 [INFO] Preparing spawn area: 57%
2011-09-24 22:16:16 [INFO] Preparing spawn area: 57%
2011-09-24 22:16:17 [INFO] Preparing spawn area: 60%
2011-09-24 22:16:18 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:20 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:22 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:23 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:26 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:27 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:30 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:33 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:35 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:40 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:55 [INFO] Preparing spawn area: 61%
2011-09-24 22:16:56 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:14 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:17 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:18 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:19 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:20 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:21 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:28 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:29 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:31 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:33 [INFO] Preparing spawn area: 65%
2011-09-24 22:17:36 [INFO] Preparing spawn area: 69%
2011-09-24 22:17:37 [INFO] Preparing spawn area: 69%
2011-09-24 22:17:38 [INFO] Preparing spawn area: 69%
2011-09-24 22:17:40 [INFO] Preparing spawn area: 69%
2011-09-24 22:17:41 [INFO] Preparing spawn area: 73%
2011-09-24 22:17:43 [INFO] Preparing spawn area: 73%
2011-09-24 22:17:44 [INFO] Preparing spawn area: 73%
2011-09-24 22:17:56 [INFO] Done (350349583710ns)! For help, type "help" or "?"
2011-09-24 22:17:56 [INFO] Stopping server
2011-09-24 22:17:56 [INFO] Saving chunks
